"Time","Diffus"
2024-07-14 00:00:00,-2.21 W/m²
2024-07-14 00:05:00,-2.52 W/m²
2024-07-14 00:10:00,-2.27 W/m²
2024-07-14 00:15:00,-2.32 W/m²
2024-07-14 00:20:00,-2.27 W/m²
2024-07-14 00:25:00,-2.27 W/m²
2024-07-14 00:30:00,-2.25 W/m²
2024-07-14 00:35:00,-2.12 W/m²
2024-07-14 00:40:00,-1.87 W/m²
2024-07-14 00:45:00,-1.69 W/m²
2024-07-14 00:50:00,-1.87 W/m²
2024-07-14 00:55:00,-1.26 W/m²
2024-07-14 01:00:00,-1.81 W/m²
2024-07-14 01:05:00,-1.53 W/m²
2024-07-14 01:10:00,-1.57 W/m²
2024-07-14 01:15:00,-1.15 W/m²
2024-07-14 01:20:00,-2.19 W/m²
2024-07-14 01:25:00,-2.06 W/m²
2024-07-14 01:30:00,-2.27 W/m²
2024-07-14 01:35:00,-1.99 W/m²
2024-07-14 01:40:00,-2.18 W/m²
2024-07-14 01:45:00,-2.15 W/m²
2024-07-14 01:50:00,-2.15 W/m²
2024-07-14 01:55:00,-1.96 W/m²
2024-07-14 02:00:00,-1.72 W/m²
2024-07-14 02:05:00,-1.78 W/m²
2024-07-14 02:10:00,-1.81 W/m²
2024-07-14 02:15:00,-1.76 W/m²
2024-07-14 02:20:00,-1.57 W/m²
2024-07-14 02:25:00,-1.45 W/m²
2024-07-14 02:30:00,-1.63 W/m²
2024-07-14 02:35:00,-2.07 W/m²
2024-07-14 02:40:00,-2.23 W/m²
2024-07-14 02:45:00,-2.38 W/m²
2024-07-14 02:50:00,-2.52 W/m²
2024-07-14 02:55:00,-2.39 W/m²
2024-07-14 03:00:00,-2.63 W/m²
2024-07-14 03:05:00,-2.92 W/m²
2024-07-14 03:10:00,-2.90 W/m²
2024-07-14 03:15:00,-2.67 W/m²
2024-07-14 03:20:00,-2.62 W/m²
2024-07-14 03:25:00,-2.49 W/m²
2024-07-14 03:30:00,-2.42 W/m²
2024-07-14 03:35:00,-2.36 W/m²
2024-07-14 03:40:00,-2.10 W/m²
2024-07-14 03:45:00,-1.94 W/m²
2024-07-14 03:50:00,-782 mW/m²
2024-07-14 03:55:00,103 mW/m²
2024-07-14 04:00:00,1.35 W/m²
2024-07-14 04:05:00,2.87 W/m²
2024-07-14 04:10:00,2.49 W/m²
2024-07-14 04:15:00,5.67 W/m²
2024-07-14 04:20:00,7.67 W/m²
2024-07-14 04:25:00,10.6 W/m²
2024-07-14 04:30:00,14.6 W/m²
2024-07-14 04:35:00,18.2 W/m²
2024-07-14 04:40:00,23.3 W/m²
2024-07-14 04:45:00,23.9 W/m²
2024-07-14 04:50:00,28.4 W/m²
2024-07-14 04:55:00,30.9 W/m²
2024-07-14 05:00:00,33.4 W/m²
2024-07-14 05:05:00,37.0 W/m²
2024-07-14 05:10:00,38.9 W/m²
2024-07-14 05:15:00,39.7 W/m²
2024-07-14 05:20:00,41.3 W/m²
2024-07-14 05:25:00,43.1 W/m²
2024-07-14 05:30:00,43.9 W/m²
