"Time","Diffus"
2024-05-01 00:00:00,-3.44 W/m²
2024-05-01 00:05:00,-3.92 W/m²
2024-05-01 00:10:00,-2.80 W/m²
2024-05-01 00:15:00,-1.89 W/m²
2024-05-01 00:20:00,-3.82 W/m²
2024-05-01 00:25:00,-2.89 W/m²
2024-05-01 00:30:00,-3.21 W/m²
2024-05-01 00:35:00,-4.31 W/m²
2024-05-01 00:40:00,-4.37 W/m²
2024-05-01 00:45:00,-4.07 W/m²
2024-05-01 00:50:00,-3.16 W/m²
2024-05-01 00:55:00,-2.56 W/m²
2024-05-01 01:00:00,-1.39 W/m²
2024-05-01 01:05:00,-1.84 W/m²
2024-05-01 01:10:00,-1.74 W/m²
2024-05-01 01:15:00,-2.60 W/m²
2024-05-01 01:20:00,-1.67 W/m²
2024-05-01 01:25:00,-1.16 W/m²
2024-05-01 01:30:00,-1.77 W/m²
2024-05-01 01:35:00,-1.25 W/m²
2024-05-01 01:40:00,-662 mW/m²
2024-05-01 01:45:00,-835 mW/m²
2024-05-01 01:50:00,-1.05 W/m²
2024-05-01 01:55:00,-1.31 W/m²
2024-05-01 02:00:00,-2.16 W/m²
2024-05-01 02:05:00,-2.03 W/m²
2024-05-01 02:10:00,-1.91 W/m²
2024-05-01 02:15:00,-1.60 W/m²
2024-05-01 02:20:00,24.8 mW/m²
2024-05-01 02:25:00,740 mW/m²
2024-05-01 02:30:00,1.11 W/m²
2024-05-01 02:35:00,1.87 W/m²
2024-05-01 02:40:00,1.27 W/m²
2024-05-01 02:45:00,1.30 W/m²
2024-05-01 02:50:00,1.08 W/m²
2024-05-01 02:55:00,513 mW/m²
2024-05-01 03:00:00,860 mW/m²
2024-05-01 03:05:00,823 mW/m²
2024-05-01 03:10:00,554 mW/m²
2024-05-01 03:15:00,389 mW/m²
2024-05-01 03:20:00,-596 mW/m²
2024-05-01 03:25:00,-70.3 mW/m²
2024-05-01 03:30:00,194 mW/m²
2024-05-01 03:35:00,356 mW/m²
2024-05-01 03:40:00,223 mW/m²
2024-05-01 03:45:00,232 mW/m²
2024-05-01 03:50:00,20.7 mW/m²
2024-05-01 03:55:00,-66.2 mW/m²
2024-05-01 04:00:00,-897 mW/m²
2024-05-01 04:05:00,-1.39 W/m²
2024-05-01 04:10:00,-554 mW/m²
2024-05-01 04:15:00,-314 mW/m²
2024-05-01 04:20:00,-165 mW/m²
2024-05-01 04:25:00,997 mW/m²
2024-05-01 04:30:00,1.59 W/m²
2024-05-01 04:35:00,2.40 W/m²
2024-05-01 04:40:00,4.59 W/m²
2024-05-01 04:45:00,9.96 W/m²
2024-05-01 04:50:00,11.5 W/m²
2024-05-01 04:55:00,10.2 W/m²
2024-05-01 05:00:00,9.20 W/m²
2024-05-01 05:05:00,11.8 W/m²
2024-05-01 05:10:00,12.5 W/m²
2024-05-01 05:15:00,15.7 W/m²
2024-05-01 05:20:00,23.0 W/m²
2024-05-01 05:25:00,23.4 W/m²
2024-05-01 05:30:00,21.3 W/m²
2024-05-01 05:35:00,17.9 W/m²
2024-05-01 05:40:00,15.5 W/m²
2024-05-01 05:45:00,14.5 W/m²
2024-05-01 05:50:00,13.5 W/m²
2024-05-01 05:55:00,17.3 W/m²
2024-05-01 06:00:00,16.0 W/m²
2024-05-01 06:05:00,19.8 W/m²
2024-05-01 06:10:00,38.6 W/m²
2024-05-01 06:15:00,52.2 W/m²
2024-05-01 06:20:00,76.4 W/m²
2024-05-01 06:25:00,117 W/m²
2024-05-01 06:30:00,111 W/m²
2024-05-01 06:35:00,101 W/m²
2024-05-01 06:40:00,71.8 W/m²
2024-05-01 06:45:00,82.5 W/m²
2024-05-01 06:50:00,140 W/m²
2024-05-01 06:55:00,231 W/m²
2024-05-01 07:00:00,184 W/m²
2024-05-01 07:05:00,197 W/m²
2024-05-01 07:10:00,220 W/m²
2024-05-01 07:15:00,209 W/m²
2024-05-01 07:20:00,276 W/m²
2024-05-01 07:25:00,304 W/m²
2024-05-01 07:30:00,277 W/m²
2024-05-01 07:35:00,275 W/m²
2024-05-01 07:40:00,327 W/m²
2024-05-01 07:45:00,250 W/m²
2024-05-01 07:50:00,214 W/m²
2024-05-01 07:55:00,242 W/m²
2024-05-01 08:00:00,222 W/m²
2024-05-01 08:05:00,216 W/m²
2024-05-01 08:10:00,232 W/m²
2024-05-01 08:15:00,246 W/m²
2024-05-01 08:20:00,278 W/m²
2024-05-01 08:25:00,282 W/m²
2024-05-01 08:30:00,290 W/m²
2024-05-01 08:35:00,366 W/m²
2024-05-01 08:40:00,400 W/m²
2024-05-01 08:45:00,350 W/m²
2024-05-01 08:50:00,366 W/m²
2024-05-01 08:55:00,351 W/m²
2024-05-01 09:00:00,269 W/m²
2024-05-01 09:05:00,263 W/m²
2024-05-01 09:10:00,357 W/m²
2024-05-01 09:15:00,475 W/m²
2024-05-01 09:20:00,441 W/m²
2024-05-01 09:25:00,404 W/m²
2024-05-01 09:30:00,382 W/m²
2024-05-01 09:35:00,438 W/m²
2024-05-01 09:40:00,506 W/m²
2024-05-01 09:45:00,546 W/m²
2024-05-01 09:50:00,525 W/m²
2024-05-01 09:55:00,523 W/m²
2024-05-01 10:00:00,450 W/m²
2024-05-01 10:05:00,434 W/m²
2024-05-01 10:10:00,329 W/m²
2024-05-01 10:15:00,304 W/m²
2024-05-01 10:20:00,285 W/m²
2024-05-01 10:25:00,335 W/m²
2024-05-01 10:30:00,356 W/m²
2024-05-01 10:35:00,628 W/m²
2024-05-01 10:40:00,594 W/m²
2024-05-01 10:45:00,434 W/m²
2024-05-01 10:50:00,460 W/m²
2024-05-01 10:55:00,464 W/m²
2024-05-01 11:00:00,478 W/m²
2024-05-01 11:05:00,445 W/m²
2024-05-01 11:10:00,383 W/m²
2024-05-01 11:15:00,398 W/m²
2024-05-01 11:20:00,543 W/m²
2024-05-01 11:25:00,362 W/m²
2024-05-01 11:30:00,321 W/m²
2024-05-01 11:35:00,524 W/m²
2024-05-01 11:40:00,508 W/m²
2024-05-01 11:45:00,473 W/m²
2024-05-01 11:50:00,339 W/m²
2024-05-01 11:55:00,484 W/m²
2024-05-01 12:00:00,587 W/m²
2024-05-01 12:05:00,554 W/m²
2024-05-01 12:10:00,540 W/m²
2024-05-01 12:15:00,657 W/m²
2024-05-01 12:20:00,486 W/m²
2024-05-01 12:25:00,453 W/m²
2024-05-01 12:30:00,408 W/m²
2024-05-01 12:35:00,329 W/m²
2024-05-01 12:40:00,214 W/m²
2024-05-01 12:45:00,226 W/m²
2024-05-01 12:50:00,236 W/m²
2024-05-01 12:55:00,192 W/m²
2024-05-01 13:00:00,193 W/m²
2024-05-01 13:05:00,169 W/m²
2024-05-01 13:10:00,187 W/m²
2024-05-01 13:15:00,198 W/m²
2024-05-01 13:20:00,177 W/m²
2024-05-01 13:25:00,149 W/m²
2024-05-01 13:30:00,139 W/m²
2024-05-01 13:35:00,95.5 W/m²
2024-05-01 13:40:00,117 W/m²
2024-05-01 13:45:00,138 W/m²
2024-05-01 13:50:00,144 W/m²
2024-05-01 13:55:00,148 W/m²
2024-05-01 14:00:00,257 W/m²
2024-05-01 14:05:00,451 W/m²
2024-05-01 14:10:00,469 W/m²
2024-05-01 14:15:00,448 W/m²
2024-05-01 14:20:00,438 W/m²
2024-05-01 14:25:00,479 W/m²
2024-05-01 14:30:00,341 W/m²
2024-05-01 14:35:00,425 W/m²
2024-05-01 14:40:00,374 W/m²
2024-05-01 14:45:00,511 W/m²
2024-05-01 14:50:00,368 W/m²
2024-05-01 14:55:00,321 W/m²
2024-05-01 15:00:00,234 W/m²
2024-05-01 15:05:00,268 W/m²
2024-05-01 15:10:00,420 W/m²
2024-05-01 15:15:00,382 W/m²
